Features: ['Pay'], Test Accuracy: 0.56
Features: ['Perf'], Test Accuracy: 0.66
Features: ['EstHap'], Test Accuracy: 0.5
Features: ['NormPay'], Test Accuracy: 0.54
Features: ['HapDiff'], Test Accuracy: 0.5
Features: ['Pay*Pay'], Test Accuracy: 0.48
Features: ['Pay*Perf'], Test Accuracy: 0.54
Features: ['Pay*EstHap'], Test Accuracy: 0.54
Features: ['Perf*Perf'], Test Accuracy: 0.4
Features: ['Perf*EstHap'], Test Accuracy: 0.4
Features: ['EstHap*EstHap'], Test Accuracy: 0.5
Features: ['Pay', 'Perf'], Test Accuracy: 0.6
Features: ['Pay', 'EstHap'], Test Accuracy: 0.56
Features: ['Pay', 'NormPay'], Test Accuracy: 0.55
Features: ['Pay', 'HapDiff'], Test Accuracy: 0.56
Features: ['Pay', 'Pay*Pay'], Test Accuracy: 0.63
Features: ['Pay', 'Pay*Perf'], Test Accuracy: 0.58
Features: ['Pay', 'Pay*EstHap'], Test Accuracy: 0.52
Features: ['Pay', 'Perf*Perf'], Test Accuracy: 0.56
Features: ['Pay', 'Perf*EstHap'], Test Accuracy: 0.56
Features: ['Pay', 'EstHap*EstHap'], Test Accuracy: 0.56
Features: ['Perf', 'EstHap'], Test Accuracy: 0.5
Features: ['Perf', 'NormPay'], Test Accuracy: 0.55
Features: ['Perf', 'HapDiff'], Test Accuracy: 0.5
Features: ['Perf', 'Pay*Pay'], Test Accuracy: 0.51
Features: ['Perf', 'Pay*Perf'], Test Accuracy: 0.54
Features: ['Perf', 'Pay*EstHap'], Test Accuracy: 0.54
Features: ['Perf', 'Perf*Perf'], Test Accuracy: 0.29
Features: ['Perf', 'Perf*EstHap'], Test Accuracy: 0.29
Features: ['Perf', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['EstHap', 'NormPay'], Test Accuracy: 0.59
Features: ['EstHap', 'HapDiff'], Test Accuracy: 0.5
Features: ['EstHap', 'Pay*Pay'], Test Accuracy: 0.6
Features: ['EstHap', 'Pay*Perf'], Test Accuracy: 0.57
Features: ['EstHap', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['EstHap', 'Perf*Perf'], Test Accuracy: 0.5
Features: ['EstHap', 'Perf*EstHap'], Test Accuracy: 0.5
Features: ['EstHap', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['NormPay', 'HapDiff'], Test Accuracy: 0.59
Features: ['NormPay', 'Pay*Pay'], Test Accuracy: 0.54
Features: ['NormPay', 'Pay*Perf'], Test Accuracy: 0.55
Features: ['NormPay', 'Pay*EstHap'], Test Accuracy: 0.58
Features: ['NormPay', 'Perf*Perf'], Test Accuracy: 0.55
Features: ['NormPay', 'Perf*EstHap'], Test Accuracy: 0.55
Features: ['NormPay', 'EstHap*EstHap'], Test Accuracy: 0.59
Features: ['HapDiff', 'Pay*Pay'], Test Accuracy: 0.6
Features: ['HapDiff', 'Pay*Perf'], Test Accuracy: 0.57
Features: ['HapDiff', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['HapDiff', 'Perf*Perf'], Test Accuracy: 0.5
Features: ['HapDiff', 'Perf*EstHap'], Test Accuracy: 0.5
Features: ['HapDiff', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.48
Features: ['Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['Pay*Pay', 'Perf*Perf'], Test Accuracy: 0.5
Features: ['Pay*Pay', 'Perf*EstHap'], Test Accuracy: 0.5
Features: ['Pay*Pay', 'EstHap*EstHap'], Test Accuracy: 0.6
Features: ['Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.53
Features: ['Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.56
Features: ['Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.56
Features: ['Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.55
Features: ['Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.53
Features: ['Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.53
Features: ['Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.56
Features: ['Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.4
Features: ['Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.5
Features: ['Pay', 'Perf', 'EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'NormPay'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'HapDiff'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'Pay*Pay'], Test Accuracy: 0.63
Features: ['Pay', 'Perf', 'Pay*Perf'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'Pay*EstHap'], Test Accuracy: 0.53
Features: ['Pay', 'Perf', 'Perf*Perf'], Test Accuracy: 0.53
Features: ['Pay', 'Perf', 'Perf*EstHap'], Test Accuracy: 0.53
Features: ['Pay', 'Perf', 'EstHap*EstHap'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'NormPay'], Test Accuracy: 0.58
Features: ['Pay', 'EstHap', 'HapDiff'], Test Accuracy: 0.56
Features: ['Pay', 'EstHap', 'Pay*Pay'], Test Accuracy: 0.58
Features: ['Pay', 'EstHap', 'Pay*Perf'], Test Accuracy: 0.6
Features: ['Pay', 'EstHap', 'Pay*EstHap'], Test Accuracy: 0.63
Features: ['Pay', 'EstHap', 'Perf*Perf'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'Perf*EstHap'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'EstHap*EstHap'], Test Accuracy: 0.56
Features: ['Pay', 'NormPay', 'HapDiff'], Test Accuracy: 0.58
Features: ['Pay', 'NormPay', 'Pay*Pay'], Test Accuracy: 0.59
Features: ['Pay', 'NormPay', 'Pay*Perf'], Test Accuracy: 0.53
Features: ['Pay', 'NormPay', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'NormPay', 'Perf*Perf'], Test Accuracy: 0.56
Features: ['Pay', 'NormPay', 'Perf*EstHap'], Test Accuracy: 0.56
Features: ['Pay', 'NormPay', 'EstHap*EstHap'], Test Accuracy: 0.6
Features: ['Pay', 'HapDiff', 'Pay*Pay'], Test Accuracy: 0.58
Features: ['Pay', 'HapDiff', 'Pay*Perf'], Test Accuracy: 0.6
Features: ['Pay', 'HapDiff', 'Pay*EstHap'], Test Accuracy: 0.63
Features: ['Pay', 'HapDiff', 'Perf*Perf'], Test Accuracy: 0.59
Features: ['Pay', 'HapDiff', 'Perf*EstHap'], Test Accuracy: 0.59
Features: ['Pay', 'HapDiff', 'EstHap*EstHap'], Test Accuracy: 0.56
Features: ['Pay', 'Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.62
Features: ['Pay', 'Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'Pay*Pay', 'Perf*Perf'], Test Accuracy: 0.62
Features: ['Pay', 'Pay*Pay', 'Perf*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'Pay*Pay', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay', 'Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.53
Features: ['Pay', 'Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.61
Features: ['Pay', 'Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.61
Features: ['Pay', 'Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.6
Features: ['Pay', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.52
Features: ['Pay', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.52
Features: ['Pay', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.56
Features: ['Pay', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Perf', 'EstHap', 'NormPay'], Test Accuracy: 0.59
Features: ['Perf', 'EstHap', 'HapDiff'], Test Accuracy: 0.5
Features: ['Perf', 'EstHap', 'Pay*Pay'], Test Accuracy: 0.59
Features: ['Perf', 'EstHap', 'Pay*Perf'], Test Accuracy: 0.6
Features: ['Perf', 'EstHap', 'Pay*EstHap'], Test Accuracy: 0.58
Features: ['Perf', 'EstHap', 'Perf*Perf'], Test Accuracy: 0.56
Features: ['Perf', 'EstHap', 'Perf*EstHap'], Test Accuracy: 0.56
Features: ['Perf', 'EstHap', 'EstHap*EstHap'], Test Accuracy: 0.5
